Number of Aliens,Success Rate,Average Steps on Failure
300,0.25,3.922306
301,0.375,4.429109
302,0.375,4.090339
303,0.875,3.87768
304,0.75,4.491184
305,1,4.411616
306,0.75,4.423174
307,0.625,3.553459
308,0.5,3.742462
309,0.875,4.056746
310,0.375,3.65872
311,0.375,3.835634
312,1.25,3.721519
313,0.5,3.757538
314,0.625,3.684277
315,0.375,3.518193
316,0.375,3.74655
317,0.125,3.316646
318,0.5,3.579146
319,0.25,3.461153
320,0.25,3.572682
321,0.375,3.676286
322,0.875,3.486759
323,0.5,3.33794
324,0.375,3.643664
325,0.5,3.207286
326,0.5,3.180905
327,0.125,3.150188
328,0.75,3.245592
329,0.375,3.333752
330,0,3.12375
