Number of Aliens,Success Rate,Average Steps on Failure
110,7,11.87097
111,7.125,11.70256
112,5.25,12.14248
113,7.125,11.43338
114,5.125,10.98155
115,6.25,11.008
116,7.125,10.08479
117,6.125,11.00133
118,6.5,10.49198
119,5.125,10.50329
120,5.25,10.46702
121,5.375,10.50991
122,5.875,10.12351
123,5.5,10.65079
124,5.875,10.08499
125,4.5,9.827225
126,3.625,10.19715
127,6.875,9.655033
128,5.625,9.295364
129,3.875,10.0104
130,3.75,8.527273
131,4.375,9.735948
132,3.375,9.913324
133,3.5,9.98057
134,4.875,8.78975
135,4.625,8.883355
136,4.25,8.207572
137,3.625,8.150454
138,4.125,8.621903
139,4.375,8.882353
140,2.25,8.749361
141,3.625,9.105059
142,3.125,8.695484
143,2.75,7.836761
144,3.375,8.510996
145,4.25,8.054831
146,3.5,6.98057
147,2.25,7.817135
148,3.625,8.291829
149,3.375,7.720569
150,3.625,7.583658
151,4.25,8.011749
152,3.125,7.556129
153,3.875,7.327698
154,3.25,7.731266
155,2.375,6.979514
156,3.625,8.386511
157,2.25,7.464194
158,2.375,6.927017
159,2.375,7.087068
160,2.25,8.03069
161,2.75,7.714653
162,2.875,7.082368
163,2.625,7.205391
164,2,7.233418
165,3.25,6.391473
166,2.875,6.306306
167,3,7.064433
168,2,7.29847
169,2.25,6.154731
170,3.125,6.805161
171,2.5,6.085897
172,2.375,6.362356
173,2,6.344388
174,1.5,6.128172
175,1.625,7.081321
176,1.375,6.064639
177,1.75,5.926208
178,2.25,6.030691
179,2.375,5.568502
180,2.125,5.54023
181,3,5.26933
182,2.5,6.042308
183,1.625,6.047014
184,1.625,5.358323
185,1.5,5.550761
186,1.875,5.015286
187,1.625,5.400254
188,1.875,5.133758
189,1.5,5.412436
190,1.625,5.416772
191,1.875,5.020382
192,2.375,4.997439
193,1.5,4.873096
194,1.75,5.73028
195,2.25,5.180307
196,1.75,5.080153
197,2.25,4.514067
198,2.5,5.267949
199,1.625,4.719187
200,1.625,5.498094
201,1.375,4.877059
202,1.5,4.366751
203,2,5.23597
204,1.375,4.579214
205,2,4.668367
206,2,4.602041
207,0.625,4.584906
208,0.875,4.717528
209,1.125,4.673831
210,0.875,4.775536
211,2.125,5.060026
212,1.875,4.06242
213,1.875,4.112102
214,1.625,4.390089
215,1,4.479798
216,1.375,4.21166
217,1.75,4.400764
218,2.25,4.259591
219,1.5,3.656091
220,1.875,3.709554
221,1.125,4.135272
222,1.125,4.064476
223,2,4.4375
224,1.5,4.281726
225,0.875,4.277428
226,1.125,3.576485
227,0.75,4.147355
228,1.125,4.029077
229,1.125,3.237674
230,1.25,3.775949
231,1.875,4.049682
232,1.375,3.713562
233,1.25,3.686076
234,1.125,3.451327
235,0.875,3.865069
236,1.5,3.593909
237,1.25,3.168355
238,1.75,3.413486
239,1.125,4.036663
240,1.25,3.331645
241,1.25,3.277215
242,1.25,3.294937
243,0.875,3.370744
244,1,3.396465
245,1.75,3.675573
246,0.625,3.272956
247,0.625,3.226415
248,0.875,3.031526
249,1.25,2.931646
250,1.25,3.074683
251,2,2.91199
252,1,2.794192
253,0.875,3.247163
254,0.75,2.745592
255,1,3.188131
256,1.375,2.803549
257,1.125,3.211125
258,1.25,2.701266
259,1.125,2.843236
260,0.125,2.862328
261,0.875,2.847415
262,0.625,3.158491
263,0.375,2.993726
264,1.125,2.902655
265,0.875,2.653216
266,0.875,2.575032
267,1.125,2.539823
268,0.875,2.602774
269,0.75,2.807305
270,0.875,2.47541
271,1.375,2.532319
272,0.75,2.421914
273,1,2.383838
274,0.75,2.338791
275,0.875,2.51198
276,1.75,2.583969
277,1.75,2.428753
278,0.75,2.540302
279,1.375,2.509506
280,1.125,2.518331
281,1,2.614899
282,0.5,2.483668
283,1.125,2.417193
284,1,2.449495
285,0.75,2.437028
286,0.5,2.180905
287,0.375,2.222083
288,0.75,2.452141
289,0.5,2.429648
290,0.625,2.149686
291,0.5,2.094221
292,0.75,2.193955
293,0.875,2.080706
294,0.75,2.108312
295,1.375,2.169835
296,1,2.311869
297,1,2.090909
298,1,1.993687
299,0.5,2.008794
300,0.625,2.225157
301,0.625,1.908176
302,0.375,2.322459
303,0.5,1.907035
304,0.5,1.898241
305,1.25,1.891139
306,1.25,1.903798
307,0.5,2.123116
308,0.375,1.998745
309,0.75,2.079345
310,0.5,1.79397
311,0.5,1.747487
312,1,1.655303
313,0.625,1.78239
314,0.375,1.958595
315,0.625,1.772327
316,0.5,1.738693
317,0.875,1.842371
318,0.625,1.515723
319,1,1.686869
320,1,1.766414
321,1,1.813131
322,0.875,1.773014
323,0.875,1.615385
324,0.375,1.613551
325,0.375,1.659975
326,0,1.59375
