Number of Aliens,Success Rate,Average Steps on Failure
1,98.875,16.33333
2,96.875,15.36
3,96.375,11.06897
4,94.125,15.85106
5,93.875,15.44898
6,91.625,14.55224
7,90.375,14.41558
8,89.5,17.84524
9,87.875,17.65979
10,87.125,16.91262
11,85,20.41667
12,81,14.70395
13,84.625,16.07317
14,81.125,15.68212
15,78.5,19.0407
16,77.625,19.2067
17,78,18.15909
18,77.625,17.97207
19,77.5,16.38333
20,75.125,17.38693
21,75.375,18.39594
22,73.5,18.32076
23,70.875,16.75537
24,70.625,19.74468
25,65.375,16.32491
26,62.5,17.84667
27,66,19.51838
28,63,17.87838
29,59.25,18.83129
30,59.5,17.74691
31,60.5,17.02532
32,56.5,18.5
33,55.5,20.08708
34,54.5,19.8022
35,53.875,18.33333
36,53.25,19.14973
37,54.375,18.24932
38,49.25,19.74877
39,46.75,18.33568
40,47.75,19.65072
41,45.875,18.7067
42,44.75,18.27602
43,43,17.8114
44,40.875,18.59831
45,40.75,20.67511
46,42,18.57112
47,41.375,20.22815
48,37.25,18.77092
49,39.125,19.98152
50,35.75,19.71401
51,34.25,19.30989
52,33.75,18.19057
53,32.625,19.22264
54,33.875,16.86389
55,32.625,19.49351
56,31,20.16848
57,30.125,17.41324
58,28.5,19.97552
59,27,17.50685
60,29.125,18.61552
61,24.5,18.66887
62,25.25,19.39298
63,24.75,18.53488
64,24.625,18.10282
65,21.875,17.8528
66,21.875,18.088
67,22.125,18.08026
68,23.5,19.34804
69,19,18.99228
70,21,18.5981
71,19,16.61265
72,18.125,17.79542
73,18.25,17.56575
74,20.25,15.5721
75,14.75,17.37537
76,16.25,16.3
77,15.125,17.25037
78,16.25,15.34776
79,15.625,15.33926
80,14.75,15.99707
81,15.875,16.04458
82,13.75,14.31159
83,14.625,15.21523
84,15.75,15.4911
85,14.125,14.32023
86,13.25,14.3415
87,12,14.49006
88,11.625,13.89533
89,10.75,15.07143
90,11.375,13.93653
91,10.625,14.23217
92,12.375,13.88873
93,11.625,14.529
94,11.5,12.96186
95,7.875,13.11398
96,10.5,14.2067
97,9.125,13.11692
98,7.375,13.42375
99,10.25,12.37883
100,7.75,13.63686
101,6.75,12.25201
102,10.375,13.17573
103,7,12.41398
104,10.25,12.06824
105,8.375,12.1719
106,7.5,12.43513
107,7.625,11.92152
108,8.125,11.92381
109,7.25,11.68598
