Number of Aliens, Success Rate, Average Steps on Failure
298,0.75,2.261965
299,1.25,2.446836
300,0.5,1.944724
301,1,1.950758
302,0.25,1.828321
303,0.5,2.130653
304,1,1.963384
305,0.75,1.680101
306,0.625,1.757233
307,1.75,2.081425
308,0.625,2.09434
309,0.875,2.089533
310,0.375,2.110414
311,0.625,1.992453
312,1.25,1.841772
313,0.75,1.856423
314,1,1.565657
315,1.125,1.778761
316,0.625,1.806289
317,0.875,1.639344
318,0.5,1.571608
319,0.625,1.771069
320,0.375,1.693852
321,0.75,1.77204
322,1.125,1.7067
323,0.625,1.661635
324,0.875,1.778058
325,1,1.619949
326,0.375,1.626098
327,0.25,1.769424
328,0.375,1.529486
329,0.375,1.544542
330,0.75,1.677582
331,0.5,1.458543
332,0.875,1.591425
333,0.5,1.506281
334,1,1.545455
335,0.5,1.506281
336,0.625,1.403774
337,0.5,1.545226
338,0.5,1.458543
339,0.5,1.5
340,1.125,1.530973
341,0.25,1.387218
342,0.5,1.517588
343,0.625,1.41761
344,0.375,1.583438
345,0.875,1.235813
346,0.875,1.385876
347,0.625,1.574843
348,0.75,1.552897
349,0.25,1.402256
350,0.75,1.351385
351,0.875,1.258512
352,0.375,1.355082
353,0.625,1.269182
354,0.875,1.363178
355,0.625,1.641509
356,0.25,1.329574
357,0.5,1.329146
358,0.375,1.282309
359,0.625,1.474214
360,0.125,1.185232
361,0.125,1.077597
362,0.5,1.25
363,0.5,1.202261
364,0.875,1.189155
365,0.5,1.309045
366,0.625,1.30566
367,0.5,1.187186
368,0.75,1.232998
369,0.625,1.373585
370,0.25,1.235589
371,0.125,1.090113
372,0.375,1.166876
373,0.75,1.128464
374,0.125,1.18398
375,0.875,1.128626
376,0.875,1.168979
377,0.625,1.098113
378,0.75,1.154912
379,0.375,1.048934
380,0.875,0.9861286
381,0.125,1.146433
382,0.5,0.9334171
383,0.375,1.131744
384,0.375,1.032622
385,0.25,0.9298246
386,0.625,1.08805
387,0.25,1.062657
388,1,1.027778
389,0.75,0.9269521
390,0.25,0.8972431
391,0.5,1.025126
392,0.375,1.071518
393,0.375,0.8983689
394,0.75,1.139799
395,0.75,1.034005
396,0.5,0.9899498
397,0.5,0.951005
398,0.75,1.006297
399,0.25,0.9423559
400,0.75,0.8060454
401,1,0.8560606
402,0.375,0.9949812
403,0.75,0.8576826
404,0.625,0.8792453
405,0.375,0.8030113
406,0.25,0.8909774
407,0.25,0.8671679
408,1,0.8143939
409,0.625,0.8125786
410,0.375,0.8883312
411,0.875,0.7225725
412,0.375,0.8619824
413,0.5,0.839196
414,0.25,0.8508772
415,0.5,0.8140703
416,0.875,0.6683481
417,0.375,0.770389
418,0.25,0.7142857
419,0.5,0.7688442
420,0.375,0.7929736
421,1.125,0.8356511
422,0.25,0.7255639
423,0.5,0.8743719
424,0.5,0.7600502
425,0.25,0.6553885
426,0.5,0.8329146
427,0.5,0.7550251
428,0.125,0.6570714
429,0.5,0.7361809
430,0.125,0.7133917
431,0.125,0.7421777
432,0.375,0.6775408
433,0.625,0.6578616
434,0.375,0.7390213
435,0.375,0.6348808
436,0.375,0.531995
437,0.75,0.7153652
438,0.5,0.7512563
439,0.125,0.5994993
440,0.375,0.5608532
441,0.375,0.6913425
442,0.375,0.6775408
443,0.75,0.6057935
444,0.5,0.5766332
445,0.5,0.6595477
446,0,0.5825
