Number of Aliens,Success Rate,Average Steps on Failure
170,1.625,5.381195
171,2.375,6.151088
172,1.875,5.782166
173,2.125,5.676884
174,2.125,5.485313
175,3.125,5.565161
176,3.625,5.747082
177,2.5,5.5
178,1.375,5.025349
179,1.125,5.228824
180,2,5.34949
181,2.5,5.701282
182,1.5,5.291878
183,2.125,5.948915
184,2.125,5.081737
185,2.125,5.480204
186,1.75,4.986005
187,1.625,4.656925
188,1.25,5.244304
189,1.375,5.207858
190,1,4.830808
191,2,5.575255
192,1.875,4.64586
193,1.625,5.104193
194,1.5,5.091371
195,0.875,4.609079
196,1.5,4.939086
197,1.375,4.742712
198,1.125,4.69153
199,1.5,4.781726
200,1.375,4.989861
201,1.625,4.113088
202,0.875,4.655738
203,1.75,4.835878
204,1.75,4.433842
205,1,4.445707
206,1.25,4.051899
207,1.625,4.983481
208,1,4.135101
209,0.75,4.405541
210,1.5,4.374365
211,1.125,4.166877
212,1.375,4.776933
213,1.375,4.397972
214,2.5,4.173077
215,1.375,4.084918
216,1.125,4.316056
217,1.375,4.309252
218,0.625,4.357233
219,1.25,3.741772
220,1.125,4.126422
221,1.75,3.74173
222,1.25,3.64557
223,0.875,3.605296
224,1.25,3.689873
225,1.5,3.875634
226,1.5,3.862944
227,1,3.969697
228,1.375,3.74398
229,1,4.054293
230,1.5,3.761421
231,1,3.198232
232,1.625,3.969504
233,1.125,3.648546
234,1.75,3.010178
235,1.125,3.375474
236,0.875,3.590164
237,0.875,3.596469
238,1.5,3.590101
239,1.125,3.19469
240,1.375,3.233207
241,0.875,3.239596
242,1,3.261364
243,1.375,3.453739
244,1.75,3.083969
245,1.125,3.268015
246,1,2.828283
247,0.625,3.010063
248,1,3.040404
249,1.25,2.888608
250,0.5,3.099246
251,1,3.099747
252,1,2.709596
253,1.5,2.667513
254,1.75,3.185751
255,1,3.078283
256,1,2.707071
257,1,2.863636
258,0.875,3.006305
259,0.875,2.733922
260,0.375,2.918444
261,0.375,2.784191
262,0.625,2.807547
263,0.625,2.906918
264,1,3
265,1.125,2.738306
266,0.25,2.616541
267,1.125,2.530973
268,1,2.670455
269,0.5,2.595477
270,1.375,2.442332
271,0.625,2.667925
272,0.5,2.718593
273,0.375,2.736512
274,0.875,2.596469
275,0.875,2.587642
276,0.875,2.321564
277,0.375,2.302384
278,1.25,2.488608
279,1.25,2.132911
280,1,2.618687
281,0.875,2.162673
282,0.75,2.152393
283,0.375,2.240903
284,0.75,2.130982
285,1,2.268939
286,0.875,2.510719
287,1.25,2.040506
288,0.75,2.147355
289,0.875,2.102144
290,0.875,2.110971
291,0.375,2.208281
292,1,2.098485
293,0.875,2.148802
294,0.875,2.258512
295,0.875,2.088272
296,1.125,2.216182
297,0.25,2.185464
298,1,2.167929
299,1.5,2.048223
300,0.75,1.924433
301,0.875,1.896595
302,0.625,2.01761
303,0.625,2.036478
304,1.375,1.936629
305,0.375,1.692597
306,0.5,2.180905
307,0.875,1.750315
308,1,2.039141
309,0.875,2.121059
310,0.625,1.948428
311,0,2.01875
