Number of Aliens,Success Rate,Average Steps on Failure
1,96.375,13.03448
2,92,16.92188
3,89.125,16.48276
4,85.375,16.49573
5,82,15.98611
6,78.875,15.23077
7,74.125,14.7343
8,72.75,14.22936
9,69.75,13.80992
10,66.25,14.94815
11,66.375,14.51673
12,63.125,14.64407
13,60.375,13.60883
14,58.75,13.52121
15,54,12.68207
16,53.5,13.48118
17,51.875,13.68052
18,51.25,12.57179
19,49.625,12.83127
20,47.5,12.29286
21,45.875,12.45958
22,43.875,11.93096
23,42.5,13.25435
24,41.125,12.69427
25,36.625,12.94083
26,38.75,12.77551
27,37.5,12.394
28,37.5,11.59
29,34.625,12.18738
30,32.75,11.88848
31,31.375,11.37523
32,31.125,11.27949
33,25.375,10.79732
34,26.875,11.55556
35,29.25,11.19788
36,26.25,11.08644
37,24.75,10.87874
38,25.25,11.05518
39,25.375,11.1139
40,21.875,11.0896
41,22,10.08974
42,20,10.39063
43,20.875,9.99842
44,19.75,10.56698
45,17.25,10.0997
46,16.875,10.49474
47,18.625,10.30876
48,17.5,10.13788
49,13.875,9.394775
50,17.125,9.864253
51,15.5,9.127219
52,18.75,9.810769
53,14,8.827035
54,14.625,9.058565
55,13.125,8.499281
56,12.75,8.786533
57,11.875,8.919149
58,13.25,9.074928
59,14.125,8.969432
60,12.75,8.730659
61,11.125,8.735583
62,13.75,8.73913
63,13.125,7.864748
64,10.75,8.142858
65,10.5,8.463687
66,10.25,8.300836
67,9.5,8.313536
68,8.875,8.005487
69,10.875,7.614306
70,8.25,7.985013
71,10.125,8.242002
72,9.625,7.900415
73,8.25,8.085831
74,8,7.201087
75,10.25,7.54039
76,9.25,7.112947
77,8,7.379076
78,9.625,7.496542
79,8,7.127717
80,9.25,7.318182
81,5.875,7.419655
82,7.125,7.378197
83,6.25,7.172
84,6.875,7.681879
85,7,7.403226
86,7.75,7.113821
87,6.375,7.192256
88,5.5,6.814815
89,6.25,7.234667
90,7,7.337366
91,7.5,6.94054
92,6.875,7.178524
93,4.875,7.215506
94,6.375,6.858478
95,5.375,7.021136
96,5.375,6.560106
97,6,6.853724
98,6,6.518617
99,5.875,6.860558
100,4.375,7.06536
101,4.5,6.560209
102,3.875,6.975293
103,4.5,6.959424
104,4.5,6.295812
105,4,7.263021
106,5.375,6.619551
107,3.75,6.424675
108,3.875,6.916775
109,4.25,6.55483
110,4.375,6.975163
111,3.5,6.547927
112,4.375,6.843137
113,3.625,6.896239
114,3.375,6.645537
115,4.5,7.117801
116,3.625,7.090791
117,4,6.246094
118,3.5,6.546632
119,2.875,6.482625
120,2.75,6.645244
121,2.375,7.138284
122,3.5,6.501296
123,3.75,7.324676
124,3.75,6.768831
125,4.125,6.395046
126,2.75,6.885604
127,3.875,6.882965
128,3,6.668815
129,2.5,6.553846
130,2.5,6.857692
131,3.125,7.565161
132,2.875,7.063063
133,3.5,6.509068
134,3.5,7.108809
135,2.25,7.154731
136,3,6.841495
137,2.375,7.169014
138,2.375,7.103713
139,4.25,6.369452
140,2.625,6.323492
141,3.375,7.419146
142,2.25,5.886189
143,2.625,6.739409
144,2.875,6.629344
145,3.875,6.388817
146,2.25,7.415601
147,4.375,6.830065
148,2.125,6.587484
149,2,6.47449
150,2,6.40051
151,2.5,6.397436
152,1.375,6.051964
153,3.25,6.450904
154,3.5,6.354922
155,2.375,6.793854
156,3.5,5.584197
157,2.5,6.952564
158,2.5,6.19359
159,3.125,6.068387
160,2.5,6.171795
161,1.75,5.533079
162,2.375,5.699104
163,1.75,6.370229
164,2,5.378827
165,1.25,6.521519
166,1.5,6.364213
167,2.75,6.007712
168,2.125,5.66539
169,2.125,5.23244
