Number of Aliens,Success Rate,Average Steps on Failure
299,0.375,2.122961
300,1,2.039141
301,0.875,2.324086
302,0.375,2.155583
303,0.75,1.671285
304,0.125,1.861076
305,1.25,1.867089
306,0.875,1.900378
307,1,1.805556
308,1,1.984848
309,1.125,2.241467
310,0.375,1.861982
311,0.5,2.03392
312,0.375,1.858218
313,0.5,1.915829
314,0.5,1.790201
315,0.875,1.644388
316,0.5,1.683417
317,0.875,1.761665
318,0.625,1.954717
319,0.625,1.78239
320,0.625,1.806289
321,0.625,1.81761
322,0.75,1.903023
323,1.125,1.857143
324,0.625,1.681761
325,0.375,1.740276
326,0.75,1.528967
327,0.75,1.630982
328,0.625,1.8
329,0.5,1.471106
330,0.375,1.681305
331,1.5,1.626904
332,0.375,1.715182
333,0.75,1.709068
334,0.5,1.517588
335,0.5,1.635678
336,0.5,1.468593
337,0.375,1.323714
338,0.75,1.571788
339,0.875,1.582598
340,0.75,1.61461
341,0.375,1.412798
342,1.25,1.46076
343,0.75,1.452141
344,0.375,1.46926
345,0.625,1.438994
346,0,1.40375
